state,Maharashtra,Karnataka,Andhra Pradesh,Tamil Nadu,Kerala,Delhi,Uttar Pradesh,West Bengal,Odisha,Rajasthan,Telangana,Chhattisgarh,Haryana,Bihar,Gujarat,Madhya Pradesh,Assam,Punjab,Jammu and Kashmir,Jharkhand,Uttarakhand,Himachal Pradesh,Goa,Puducherry,Tripura,Manipur,Chandigarh,Arunachal Pradesh,Meghalaya,Nagaland,Ladakh,Sikkim,Andaman and Nicobar Islands,Mizoram,Dadra and Nagar Haveli and Daman and Diu
01-11-2020,1678406,823412,823348,724522,433105,386706,481863,373664,290116,196993,240048,187270,167210,216086,172782,171359,206351,133658,94785,101761,62328,22059,43626,35013,30794,18502,14418,14852,9452,9047,6270,3940,4332,2753,3251
02-11-2020,1683775,827064,825966,727026,440130,392370,483832,377651,291825,198747,240970,188813,168880,216707,173642,172082,206517,133975,95325,102087,62550,22264,43768,35109,30852,18750,14476,14881,9607,9075,6287,3958,4340,2757,3255
03-11-2020,1687784,829640,827882,729507,444268,396371,485609,381608,293214,200495,242506,190513,170446,217277,174517,172717,206982,134371,95710,102490,62881,22598,43954,35178,30989,19091,14528,14998,9678,9096,6357,3967,4352,2792,3257
04-11-2020,1692693,832396,830731,731942,451130,403096,487335,385589,294415,202220,244143,192237,172130,218203,175471,173384,207361,134786,96188,102887,63197,22932,44189,35325,31105,19241,14608,15083,9741,9151,6441,4004,4372,2893,3257
05-11-2020,1698198,835773,833208,734429,459646,409938,489502,389576,295889,203990,245682,194499,174082,218605,176446,174091,207741,135313,96700,103188,63585,23365,44372,35429,31237,19503,14702,15160,9801,9207,6553,4067,4389,2958,3262
06-11-2020,1703444,838929,835953,736777,466466,416653,491354,393524,297274,205800,247284,196233,176146,219349,177436,174825,208054,135834,97224,103543,64065,23809,44544,35550,31347,19725,14794,15244,9893,9264,6633,4093,4403,2990,3268
07-11-2020,1710314,841889,838363,739147,473468,423831,493527,397466,298768,207597,248891,197991,178413,220099,178471,175603,208389,136481,97805,103899,64538,24239,44747,35675,31434,19891,14927,15325,9979,9327,6718,4144,4420,3032,3272
08-11-2020,1714273,844147,840730,741488,480669,430784,495421,401394,300140,209438,250331,199562,180424,220936,179517,176468,208637,136958,98337,104239,65036,24812,44916,35744,31517,20131,15025,15389,10047,9455,6790,4195,4441,3090,3273
09-11-2020,1719858,846887,842967,743822,486109,438529,497563,405314,301574,211310,251188,200937,182804,221624,180537,177359,208789,137445,98892,104442,65279,25486,45065,35838,31543,20376,15134,15436,10202,9474,6809,4245,4450,3096,3274
10-11-2020,1723135,848850,844359,746079,489702,443552,499199,409221,302793,213169,252455,202523,185231,222917,181508,178168,209117,137999,99352,104688,65677,26197,45209,35900,31622,20558,15249,15484,10230,9503,6934,4257,4463,3156,3274
11-11-2020,1726926,851212,846245,748225,495712,451382,501311,413112,303780,215071,253651,204202,187777,223346,182557,179068,209388,138485,99844,104940,66005,26808,45389,36000,31706,20777,15339,15581,10296,9536,7063,4308,4477,3217,3275
12-11-2020,1731833,853796,847977,750409,502719,459975,503159,416984,305000,217151,254666,205923,190323,223917,183682,179951,209633,139184,100351,105224,66788,27418,45498,36114,31765,20950,15434,15657,10368,9578,7134,4344,4494,3242,3275
13-11-2020,1736329,855912,849705,752521,508256,467028,505424,420840,305986,219327,254666,207740,193111,225500,184964,180997,209834,139184,100968,105493,67239,28184,45605,36179,31762,21211,15543,15701,10512,9579,7211,4369,4507,3242,3271
14-11-2020,1744698,860082,852955,754460,520417,482170,507602,428498,307906,221471,255663,209288,197917,226669,187240,182045,210174,140605,102159,105935,67706,29009,45845,36299,31916,21425,15636,15758,10633,9639,7291,4416,4518,3368,3280
15-11-2020,1747242,861647,852955,758191,524998,485405,509903,431551,308659,225817,257374,210004,199874,226916,188310,183927,210267,141658,102619,106064,68002,29331,45903,36324,31942,21871,15804,15792,10668,9751,7356,4457,4527,3393,3282
16-11-2020,1749777,862804,854764,759916,527708,485405,512850,434563,309408,227986,257876,210534,202027,227433,189236,184524,210453,141658,103009,106064,68458,29714,46028,36324,31959,21871,15886,15812,10668,10026,7396,4499,4536,3396,3289
17-11-2020,1749777,862804,854764,759916,527708,489202,512850,434563,309408,227986,257876,211644,202027,227433,189236,184524,210453,142082,103009,106230,68458,30157,46028,36324,31959,22049,15886,15868,10668,10026,7493,4522,4557,3396,3289
18-11-2020,1752509,864140,856159,761568,539919,495598,514270,438217,310920,230180,258828,213365,207039,228680,191642,185446,210695,142597,104155,106491,68887,30741,46182,36409,32109,22208,16167,15904,10794,10189,7563,4549,4574,3481,3292
19-11-2020,1757520,865931,857395,763282,539919,503084,516616,441885,310920,232358,259776,215413,207039,228680,191642,186655,210864,143395,104155,106742,69307,31402,46344,36465,32109,22318,16167,15945,10873,10367,7623,4578,4593,3481,3300
20-11-2020,1763055,867780,858711,764989,545641,510630,519148,445505,312545,234907,261728,217562,209251,229474,192982,188018,211039,144177,104715,106972,69693,32198,46480,36533,32289,22548,16322,15976,10979,10461,7714,4609,4604,3541,3302
21-11-2020,1768695,869561,859932,766677,551669,517238,521988,449131,312545,237669,261728,219404,212355,229969,194402,189546,211203,144995,105376,107157,70205,32786,46632,36585,32289,22778,16472,15976,11152,10461,7787,4609,4617,3541,3311
23-11-2020,1780208,873046,862213,769995,562695,529863,526780,456361,313961,243936,263526,223436,217300,230632,197412,193044,211512,146346,106548,107469,71256,34328,46826,36693,32412,23400,16671,16061,11339,10778,7939,4721,4641,3647,3316
24-11-2020,1784361,874555,862758,771619,566452,534317,528833,459918,314629,247168,264128,223436,219963,231044,198899,194745,211681,147057,106899,107688,71632,34328,46901,36718,32431,23400,16769,16061,11397,10778,7939,4735,4656,3660,3320
25-11-2020,1789800,876425,863843,773176,571872,540541,531050,463463,315271,250482,265049,227326,222292,231697,200409,196511,211838,147057,107330,107921,72160,35730,47068,36769,32490,23940,16848,16144,11454,10932,8028,4776,4667,3710,3320
26-11-2020,1795959,878055,865705,776174,583741,551262,533355,466991,316645,256947,266904,229203,226611,233142,201949,198284,212020,148435,108306,108158,72997,36567,47341,36820,32575,24133,16935,16174,11513,11061,8119,4818,4677,3765,3323
27-11-2020,1802365,879560,865705,776174,583741,551262,535449,470498,316645,256947,266904,230956,226611,233142,203509,199952,212170,149278,108306,108388,72997,36567,47341,36840,32575,24133,17051,16174,11581,11061,8228,4870,4682,3765,3323
28-11-2020,1808550,881086,866438,777616,587707,556744,537747,473987,317239,260040,267665,232835,228746,233840,205116,201597,212319,149278,108871,108577,73527,37498,47491,36856,32607,24292,17157,16204,11581,11092,8272,4907,4689,3788,3325
30-11-2020,1820059,883899,867683,780505,599600,566648,541873,480813,318307,265386,269223,235998,232522,235159,208278,204745,212616,151538,109854,108984,74340,38978,47804,36935,32638,24749,17342,16262,11704,11116,8328,4985,4704,3823,3325
01-12-2020,1823896,884897,868064,781915,602982,570374,543888,483484,318725,268063,269816,237322,234126,235616,209780,206128,212775,152091,110224,109151,74795,40004,47963,36968,32692,25045,17409,16282,11810,11187,8415,4989,4710,3825,3327
02-12-2020,1828826,886227,868749,783319,608357,574380,543888,486799,319103,270410,270318,239215,235997,236098,211257,206128,212997,152709,110678,109332,75292,40519,48124,36968,32723,25045,17537,16282,11875,11210,8415,4989,4718,3847,3329
03-12-2020,1832176,889113,870076,786163,620049,582058,547308,490070,320017,274486,271492,240863,239239,237349,214309,210374,213170,153308,111130,109538,76275,41861,48241,37119,32800,25390,17717,16320,11954,11284,8623,5071,4723,3881,3333
04-12-2020,1837358,889113,870076,786163,620049,582058,549228,490070,320017,274486,271492,240863,239239,237349,214309,210374,213170,153308,111712,109538,76275,41861,48241,37119,32800,25390,17717,16320,11954,11284,8623,5071,4723,3881,3333
05-12-2020,1842587,890360,870675,787554,625767,586125,551179,496522,320394,276420,272123,243997,240841,237968,215819,211698,213504,154064,112256,109990,76893,43501,48459,37165,32833,25691,17828,16367,12005,11306,8691,5100,4729,3888,3333
06-12-2020,1847509,891685,871972,788920,636392,589544,553012,499697,321196,278496,273341,245580,242398,239126,217333,213050,213661,155424,112757,110186,77573,44406,48574,37209,32888,25857,18027,16384,12164,11341,8840,5168,4747,3934,3336
07-12-2020,1852266,893006,871972,790240,636392,592250,554944,502840,321196,280585,273341,246809,243896,239126,218788,214505,213758,156226,113288,110186,77573,44959,48686,37244,32888,25857,18027,16384,12164,11380,8840,5168,4747,3934,3336
08-12-2020,1855341,894004,872288,791552,639664,593924,556397,505054,321564,282512,273858,248232,245288,239565,220168,215957,213924,156839,113568,110457,78509,45698,48776,37270,32894,26225,18113,16395,12314,11419,8896,5194,4773,3936,3340
09-12-2020,1859367,895284,872839,792788,644696,597112,558173,507995,321913,284116,274540,249699,246679,240249,221493,217302,214018,157331,114038,110639,79141,46202,48935,37311,32922,26396,18239,16395,12410,11480,8969,5213,4778,3968,3345
10-12-2020,1864348,895284,873457,794020,649571,599575,558173,510951,322299,285627,275261,251120,248079,240939,222811,217302,214164,157331,114407,110830,79656,46202,49036,37339,32942,26534,18322,16437,12410,11509,9045,5237,4783,3977,3348
11-12-2020,1868172,897801,873995,795240,654041,601150,561140,513752,322642,287219,275904,252638,249329,241534,224081,219893,214304,158556,114773,111003,80486,47704,49131,37363,32973,26685,18410,16479,12511,11603,9045,5237,4791,3984,3348
12-12-2020,1872440,899011,874515,796475,658683,603535,562722,516505,323029,288692,276516,254129,250394,242152,225304,221115,214431,159099,115207,111177,81211,48355,49235,37406,32994,26859,18502,16497,12645,11635,9112,5290,4798,4007,3349
13-12-2020,1876699,900214,875025,797693,664632,605470,564132,519215,323364,289999,277151,255761,251402,242748,226508,222397,214583,159579,115626,111366,81939,48952,49305,37444,33012,27036,18572,16504,12743,11677,9138,5316,4805,4024,3349
14-12-2020,1883365,902240,875836,800029,672037,608830,566728,523629,324089,292539,278108,257020,253385,243673,228803,224636,214656,160659,116254,111510,83006,49376,49474,37492,33045,27155,18714,16513,12866,11729,9155,5338,4818,4040,3349
15-12-2020,1883365,902240,875836,800029,672037,608830,566728,523629,324089,292539,278108,258485,253385,243673,228803,224636,214802,160659,116254,111722,83006,49762,49474,37513,33045,27209,18714,16536,12941,11729,9166,5340,4834,4040,3349
16-12-2020,1886807,903425,876336,801161,677255,610447,568064,525918,324389,293584,278599,260240,254207,244245,229913,225709,214944,161053,116600,111931,83502,50197,49566,37550,33054,27292,18776,16553,13007,11762,9217,5365,4842,4049,3349
21-12-2020,1896518,909469,878723,806891,705869,617005,574631,536828,326233,298996,281414,267219,257644,247244,235299,231284,215408,163042,118263,113025,86317,52330,50064,37715,33164,27646,19073,16630,13253,11843,9279,5573,4881,4122,3353
24-12-2020,1906371,912340,879718,810080,721510,619618,577642,541624,327279,301708,282982,271194,259226,248668,238205,234331,215679,163665,119053,113609,87940,53393,50364,37845,33200,27827,19266,16669,13328,11878,9309,5632,4896,4141,3354
25-12-2020,1909951,913483,880075,811115,726687,620681,578768,543214,327542,302709,283556,272426,259745,249336,239195,235369,215774,164505,119344,113786,88376,53767,50454,37885,33213,27876,19309,16678,13340,11891,9341,5664,4901,4156,3356
27-12-2020,1916236,915345,880712,813161,735611,622094,581080,546008,328201,304517,284391,274324,260545,250450,240995,237406,215909,165126,119877,114143,89218,54281,50595,37947,33223,27976,19423,16687,13371,11898,9394,5799,4912,4178,3359
