state,Maharashtra,Karnataka,Andhra Pradesh,Tamil Nadu,Kerala,Delhi,Uttar Pradesh,West Bengal,Odisha,Rajasthan,Telangana,Chhattisgarh,Haryana,Bihar,Gujarat,Madhya Pradesh,Assam,Punjab,Jammu and Kashmir,Jharkhand,Uttarakhand,Himachal Pradesh,Goa,Puducherry,Tripura,Manipur,Chandigarh,Arunachal Pradesh,Meghalaya,Nagaland,Ladakh,Sikkim,Andaman and Nicobar Islands,Mizoram,Dadra and Nagar Haveli and Daman and Diu
01-11-2020,43911,11168,6690,11122,1484,6511,7025,6841,1320,1907,1341,2101,1789,1090,3716,2951,930,4203,1478,884,1023,317,604,592,346,168,226,37,88,39,75,72,59,1,2
02-11-2020,44024,11192,6706,11152,1512,6562,7051,6900,1331,1917,1348,2150,1795,1097,3721,2958,931,4214,1482,885,1027,326,609,595,348,171,226,37,90,39,75,73,60,1,2
03-11-2020,44128,11221,6719,11183,1533,6604,7076,6957,1340,1926,1351,2208,1810,1101,3725,2965,932,4227,1490,886,1029,336,616,595,350,180,227,38,90,42,76,73,60,1,2
04-11-2020,44248,11247,6734,11214,1559,6652,7089,7013,1352,1936,1357,2266,1817,1108,3731,2974,934,4245,1502,891,1033,344,618,596,353,184,228,42,90,42,76,73,60,1,2
05-11-2020,44548,11281,6744,11244,1587,6703,7104,7068,1364,1945,1362,2316,1836,1113,3737,2987,934,4259,1511,894,1038,355,626,597,353,187,229,43,90,44,79,73,60,2,2
06-11-2020,44804,11312,6757,11272,1613,6769,7131,7122,1378,1955,1366,2360,1859,1121,3744,2992,934,4281,1517,894,1047,361,630,597,354,189,229,43,91,45,79,75,60,2,2
07-11-2020,44965,11347,6768,11299,1640,6833,7155,7177,1393,1966,1372,2412,1880,1129,3748,3004,938,4295,1523,895,1056,361,633,598,356,191,230,43,91,45,80,75,60,2,2
08-11-2020,45115,11369,6779,11324,1668,6912,7180,7235,1410,1979,1377,2434,1897,1136,3753,3017,940,4310,1528,897,1063,371,641,600,357,194,232,45,93,45,80,76,60,2,2
09-11-2020,45240,11391,6791,11344,1692,6989,7206,7294,1425,1989,1381,2447,1912,1144,3760,3028,943,4318,1533,897,1065,377,643,601,359,197,234,46,93,46,84,78,60,2,2
10-11-2020,45325,11410,6802,11362,1714,7060,7231,7350,1441,1998,1385,2464,1919,1151,3765,3034,947,4338,1542,905,1075,384,647,602,359,198,237,46,94,46,85,79,60,2,2
11-11-2020,45435,11430,6814,11387,1742,7143,7261,7403,1454,2008,1390,2482,1935,1156,3770,3042,952,4358,1549,910,1080,396,651,604,359,200,241,46,94,50,85,80,60,2,2
12-11-2020,45560,11453,6828,11415,1771,7228,7281,7452,1469,2019,1393,2507,1960,1162,3776,3055,954,4389,1558,913,1086,405,656,605,359,202,243,46,94,50,86,82,60,2,2
13-11-2020,46726,11510,6847,11454,1934,7423,7327,7557,1548,2044,1397,2545,2006,1175,3791,3076,959,4428,1574,921,1097,425,658,608,357,213,246,47,98,54,89,86,61,2,2
14-11-2020,46831,11527,6854,11454,1960,7519,7327,7610,1563,2044,1397,2545,2011,1180,3797,3076,962,4428,1580,922,1097,425,659,608,359,213,246,47,100,54,89,86,61,3,2
15-11-2020,46891,11548,6854,11478,1981,7614,7354,7661,1580,2066,1404,2562,2019,1185,3803,3090,964,4458,1589,924,1102,433,662,608,359,221,248,48,100,54,89,87,61,4,2
16-11-2020,46951,11560,6881,11495,2000,7614,7393,7714,1596,2078,1407,2578,2038,1190,3808,3092,965,4458,1597,924,1116,444,663,608,361,221,250,48,100,55,89,89,61,5,2
17-11-2020,46951,11560,6881,11495,2000,7713,7393,7714,1596,2078,1407,2604,2038,1190,3808,3092,965,4480,1597,928,1116,452,663,608,361,224,250,48,100,55,93,91,61,5,2
18-11-2020,47019,11576,6890,11513,2055,7812,7412,7766,1628,2089,1410,2623,2093,1202,3823,3102,967,4510,1613,931,1119,464,667,608,361,225,253,48,102,55,94,92,61,5,2
19-11-2020,47119,11597,6899,11531,2055,7943,7441,7820,1628,2101,1415,2646,2093,1202,3823,3115,970,4541,1613,934,1128,477,670,608,361,231,253,48,103,56,94,95,61,5,2
20-11-2020,47346,11623,6910,11550,2084,8041,7480,7873,1661,2116,1423,2672,2113,1210,3830,3129,970,4556,1618,937,1134,489,670,609,362,231,254,49,104,58,95,95,61,5,2
21-11-2020,47501,11640,6920,11568,2112,8159,7500,7923,1661,2130,1423,2691,2138,1213,3837,3138,972,4572,1622,939,1138,500,672,609,362,231,255,49,106,58,96,95,61,5,2
23-11-2020,47613,11673,6938,11605,2164,8391,7559,8025,1693,2163,1430,2732,2188,1222,3859,3162,974,4614,1629,950,1155,537,677,609,363,236,260,49,110,63,100,99,61,5,2
24-11-2020,47643,11697,6948,11622,2186,8512,7582,8072,1710,2181,1433,2732,2216,1228,3876,3172,975,4631,1641,953,1162,537,677,609,366,236,263,49,110,63,100,100,61,5,2
25-11-2020,47673,11714,6956,11639,2210,8621,7615,8121,1724,2200,1437,2767,2249,1234,3892,3183,976,4631,1651,955,1180,571,679,609,367,240,265,49,110,65,105,102,61,5,2
26-11-2020,47865,11733,6970,11669,2263,8811,7644,8172,1757,2237,1444,2783,2316,1244,3906,3197,978,4684,1668,958,1196,584,685,609,367,245,266,49,110,67,108,102,61,5,2
27-11-2020,47930,11745,6970,11669,2263,8811,7674,8224,1757,2237,1444,2801,2316,1244,3922,3209,978,4710,1668,961,1196,584,685,609,367,245,270,49,110,67,113,102,61,5,2
28-11-2020,48015,11757,6976,11681,2286,8909,7697,8270,1771,2255,1448,2813,2345,1249,3938,3224,980,4710,1676,962,1201,598,686,609,367,249,270,49,110,68,114,103,61,5,2
30-11-2020,48188,11784,6988,11703,2338,9066,7742,8376,1787,2292,1455,2840,2401,1260,3969,3250,981,4780,1685,963,1222,622,687,609,367,263,276,51,111,68,116,108,61,5,2
01-12-2020,48216,11797,6992,11712,2359,9174,7761,8424,1792,2312,1458,2861,2428,1265,3989,3260,981,4807,1694,964,1231,634,688,610,367,281,277,54,111,68,117,109,61,5,2
02-12-2020,48311,11811,6996,11722,2385,9260,7761,8476,1797,2331,1461,2892,2456,1269,4004,3260,981,4821,1702,969,1238,644,690,610,367,281,278,54,112,68,117,109,61,6,2
03-12-2020,48423,11840,7014,11747,2450,9424,7817,8527,1808,2370,1465,2919,2520,1282,4031,3300,983,4842,1708,971,1263,678,693,613,369,291,284,54,114,67,119,111,61,6,2
04-12-2020,48538,11840,7014,11747,2450,9424,7848,8527,1808,2370,1465,2919,2520,1282,4031,3300,983,4842,1718,971,1263,678,693,613,369,291,284,54,114,67,119,111,61,6,2
05-12-2020,48665,11853,7020,11762,2479,9497,7877,8628,1813,2389,1467,2956,2539,1288,4049,3314,987,4862,1730,978,1273,709,696,614,369,295,287,55,116,68,119,111,61,6,2
06-12-2020,48760,11865,7033,11777,2539,9574,7900,8677,1824,2409,1472,2977,2564,1296,4064,3326,989,4905,1742,979,1281,722,697,614,369,299,291,55,118,68,120,115,61,6,2
