state,Maharashtra,Karnataka,Andhra Pradesh,Tamil Nadu,Kerala,Delhi,Uttar Pradesh,West Bengal,Odisha,Rajasthan,Telangana,Chhattisgarh,Haryana,Bihar,Gujarat,Madhya Pradesh,Assam,Punjab,Jammu and Kashmir,Jharkhand,Uttarakhand,Himachal Pradesh,Goa,Puducherry,Tripura,Manipur,Chandigarh,Arunachal Pradesh,Meghalaya,Nagaland,Ladakh,Sikkim,Andaman and Nicobar Islands,Mizoram,Dadra and Nagar Haveli and Daman and Diu
01-11-2020,1510353,757208,792083,691236,340324,347476,451070,329937,275749,179984,220466,163079,153230,207480,155982,159479,196054,125198,86888,95575,57422,18862,40678,30724,29048,14862,13551,12959,8345,7454,5539,3617,4100,2291,3210
02-11-2020,1514079,765261,795592,694880,348835,351635,453458,333990,277564,181575,221992,164537,154451,208644,157110,160586,196784,125566,87517,95973,57609,18965,40915,31345,29234,15065,13632,13073,8462,7535,5629,3651,4112,2323,3219
03-11-2020,1524304,773595,798625,698820,355943,356459,455498,338075,279091,182680,223413,166391,155717,209582,158114,161454,197569,125961,88140,96485,58050,19304,41123,31827,29318,15343,13708,13238,8579,7689,5671,3655,4132,2347,3221
04-11-2020,1531277,780735,802325,701527,364745,360069,457708,342133,280553,183899,224686,168201,156975,210672,159311,162366,198042,126315,88718,96975,58459,19469,41362,32284,29430,15460,13751,13367,8680,7869,5701,3660,4153,2376,3225
05-11-2020,1540005,788780,805026,704031,372951,365866,459722,346262,282073,185722,225664,169410,158136,211398,160333,163250,198697,126583,89254,97480,58729,19579,41611,32703,29545,15618,13802,13472,8752,8017,5772,3740,4163,2435,3228
06-11-2020,1551282,794503,807318,706444,380650,371155,461073,350449,283533,187544,226646,170760,159643,211872,161388,164067,199458,126932,89905,97964,59338,19780,41849,33123,29666,15750,13862,13580,8813,8161,5802,3778,4175,2473,3230
07-11-2020,1562342,797204,809770,708846,388504,377276,463240,354732,285174,189354,227583,172513,161176,212452,162709,164923,200384,127304,90537,98365,59746,20033,42056,33437,29792,16092,13925,13679,8904,8282,5854,3786,4194,2485,3233
08-11-2020,1569090,799439,812517,711198,395624,383614,465250,359071,286857,191132,229064,173872,162814,213513,163640,165715,200939,127821,91225,98776,60083,20243,42239,33932,29858,16714,13978,13785,8959,8336,5894,3805,4206,2526,3239
09-11-2020,1577322,801799,814773,713584,402477,389683,467108,363454,288168,192945,230568,176129,164444,214207,164459,166403,201334,128217,91681,99074,60242,20393,42446,34067,29965,17072,14024,13881,9075,8440,5960,3894,4221,2618,3246
10-11-2020,1577322,804485,816322,715892,408460,396697,469003,367850,289689,194629,232489,178838,166595,215263,165452,167084,201842,128727,92245,99532,60453,20621,42678,34212,30009,17259,14110,13966,9112,8513,6003,3910,4239,2656,3249
